DR: 0.681665(50), 0.598279(all), eps: 0.200000
DR: 0.357543(50), 0.597296(all), eps: 0.200000
DR: 0.805985(50), 0.598217(all), eps: 0.200000
DR: 0.730087(50), 0.598906(all), eps: 0.200000
DR: 0.773660(50), 0.599670(all), eps: 0.200000
DR: 0.647036(50), 0.599879(all), eps: 0.200000
DR: 0.822640(50), 0.600844(all), eps: 0.200000
DR: 0.768646(50), 0.601740(all), eps: 0.200000
DR: 0.709579(50), 0.602203(all), eps: 0.200000
DR: 0.752681(50), 0.603004(all), eps: 0.200000
DR: 0.724366(50), 0.603520(all), eps: 0.200000
DR: 0.676726(50), 0.603998(all), eps: 0.200000
DR: 0.768853(50), 0.604694(all), eps: 0.200000
DR: 0.649837(50), 0.605049(all), eps: 0.200000
DR: 0.774017(50), 0.605756(all), eps: 0.200000
DR: 0.775445(50), 0.606615(all), eps: 0.200000
DR: 0.747698(50), 0.607200(all), eps: 0.200000
DR: 0.808629(50), 0.608193(all), eps: 0.200000
DR: 0.814713(50), 0.609042(all), eps: 0.200000
DR: 0.829495(50), 0.610104(all), eps: 0.200000
DR: 0.769102(50), 0.610751(all), eps: 0.200000
DR: 0.827446(50), 0.611788(all), eps: 0.200000
DR: 0.775210(50), 0.612449(all), eps: 0.200000
DR: 0.784526(50), 0.613297(all), eps: 0.200000
DR: 0.862624(50), 0.614295(all), eps: 0.200000
DR: 0.684267(50), 0.614569(all), eps: 0.200000
DR: 0.735262(50), 0.615048(all), eps: 0.200000
DR: 0.843920(50), 0.616027(all), eps: 0.200000
DR: 0.836166(50), 0.616894(all), eps: 0.200000
DR: 0.787894(50), 0.617715(all), eps: 0.200000
DR: 0.802637(50), 0.618438(all), eps: 0.200000
DR: 0.822092(50), 0.619378(all), eps: 0.200000
DR: 0.794091(50), 0.620056(all), eps: 0.200000
DR: 0.728535(50), 0.620621(all), eps: 0.200000
DR: 0.779957(50), 0.621233(all), eps: 0.200000
DR: 0.707930(50), 0.621695(all), eps: 0.200000
DR: 0.789480(50), 0.622335(all), eps: 0.200000
DR: 0.735297(50), 0.622907(all), eps: 0.200000
DR: 0.721199(50), 0.623279(all), eps: 0.200000
DR: 0.682744(50), 0.623438(all), eps: 0.200000
DR: 0.767067(50), 0.623977(all), eps: 0.200000
DR: 0.764305(50), 0.624642(all), eps: 0.200000
DR: 0.711057(50), 0.624964(all), eps: 0.200000
DR: 0.746726(50), 0.625555(all), eps: 0.200000
DR: 0.722367(50), 0.625912(all), eps: 0.200000
DR: 0.794798(50), 0.626642(all), eps: 0.200000
DR: 0.792929(50), 0.627252(all), eps: 0.200000
DR: 0.850387(50), 0.628186(all), eps: 0.200000
DR: 0.719196(50), 0.628517(all), eps: 0.200000
DR: 0.730352(50), 0.629021(all), eps: 0.200000
DR: 0.795956(50), 0.629624(all), eps: 0.200000
DR: 0.814073(50), 0.630360(all), eps: 0.200000
DR: 0.786725(50), 0.630920(all), eps: 0.200000
DR: 0.809848(50), 0.631690(all), eps: 0.200000
DR: 0.746440(50), 0.632099(all), eps: 0.200000
DR: 0.813301(50), 0.632867(all), eps: 0.200000
DR: 0.809406(50), 0.633490(all), eps: 0.200000
DR: 0.735527(50), 0.633968(all), eps: 0.200000
DR: 0.806309(50), 0.634572(all), eps: 0.200000
DR: 0.808767(50), 0.635308(all), eps: 0.200000
DR: 0.750201(50), 0.635707(all), eps: 0.200000
DR: 0.799378(50), 0.636372(all), eps: 0.200000
DR: 0.747527(50), 0.636756(all), eps: 0.200000
DR: 0.709405(50), 0.637062(all), eps: 0.200000
DR: 0.840371(50), 0.637759(all), eps: 0.200000
DR: 0.840249(50), 0.638507(all), eps: 0.200000
DR: 0.684632(50), 0.638664(all), eps: 0.200000
DR: 0.742317(50), 0.639138(all), eps: 0.200000
DR: 0.744540(50), 0.639494(all), eps: 0.200000
DR: 0.763070(50), 0.640032(all), eps: 0.200000
DR: 0.878149(50), 0.640831(all), eps: 0.200000
DR: 0.725927(50), 0.641236(all), eps: 0.200000
DR: 0.755351(50), 0.641616(all), eps: 0.200000
DR: 0.571125(50), 0.641501(all), eps: 0.200000
DR: 0.816943(50), 0.642082(all), eps: 0.200000
DR: 0.861183(50), 0.642922(all), eps: 0.200000
DR: 0.820729(50), 0.643507(all), eps: 0.200000
DR: 0.798367(50), 0.644131(all), eps: 0.200000
DR: 0.798380(50), 0.644634(all), eps: 0.200000
DR: 0.801629(50), 0.645261(all), eps: 0.200000
DR: 0.821370(50), 0.645832(all), eps: 0.200000
DR: 0.806808(50), 0.646466(all), eps: 0.200000
DR: 0.761930(50), 0.646838(all), eps: 0.200000
DR: 0.752492(50), 0.647273(all), eps: 0.200000
DR: 0.772739(50), 0.647675(all), eps: 0.200000
DR: 0.765269(50), 0.648134(all), eps: 0.200000
DR: 0.821719(50), 0.648686(all), eps: 0.200000
DR: 0.712637(50), 0.648988(all), eps: 0.200000
DR: 0.757103(50), 0.649330(all), eps: 0.200000
DR: 0.764186(50), 0.649738(all), eps: 0.200000
DR: 0.760657(50), 0.650086(all), eps: 0.200000
DR: 0.786000(50), 0.650572(all), eps: 0.200000
DR: 0.806548(50), 0.651058(all), eps: 0.200000
DR: 0.777977(50), 0.651499(all), eps: 0.200000
DR: 0.854635(50), 0.652127(all), eps: 0.200000
DR: 0.792649(50), 0.652668(all), eps: 0.200000
DR: 0.751205(50), 0.652971(all), eps: 0.200000
DR: 0.698791(50), 0.653218(all), eps: 0.200000
DR: 0.802188(50), 0.653673(all), eps: 0.200000
DR: 0.829123(50), 0.654291(all), eps: 0.200000
DR: 0.781557(50), 0.654678(all), eps: 0.200000
DR: 0.746941(50), 0.654979(all), eps: 0.200000
DR: 0.779350(50), 0.655354(all), eps: 0.200000
DR: 0.744082(50), 0.655661(all), eps: 0.200000
DR: 0.713374(50), 0.655834(all), eps: 0.200000
DR: 0.761641(50), 0.656193(all), eps: 0.200000
DR: 0.747669(50), 0.656466(all), eps: 0.200000
DR: 0.737273(50), 0.656808(all), eps: 0.200000
DR: 0.803119(50), 0.657241(all), eps: 0.200000
DR: 0.882629(50), 0.658000(all), eps: 0.200000
DR: 0.760437(50), 0.658302(all), eps: 0.200000
DR: 0.773900(50), 0.658741(all), eps: 0.200000
DR: 0.682684(50), 0.658811(all), eps: 0.200000
DR: 0.759063(50), 0.659144(all), eps: 0.200000
DR: 0.741697(50), 0.659384(all), eps: 0.200000
DR: 0.772296(50), 0.659752(all), eps: 0.200000
DR: 0.826881(50), 0.660235(all), eps: 0.200000
DR: 0.568328(50), 0.660068(all), eps: 0.200000
DR: 0.781197(50), 0.660416(all), eps: 0.200000
DR: 0.880182(50), 0.661142(all), eps: 0.200000
DR: 0.783061(50), 0.661490(all), eps: 0.200000
DR: 0.671358(50), 0.661614(all), eps: 0.200000
DR: 0.804372(50), 0.662019(all), eps: 0.200000
DR: 0.776247(50), 0.662438(all), eps: 0.200000
DR: 0.855433(50), 0.662982(all), eps: 0.200000
DR: 0.689723(50), 0.663152(all), eps: 0.200000
DR: 0.770751(50), 0.663453(all), eps: 0.200000
DR: 0.723610(50), 0.663694(all), eps: 0.200000
DR: 0.743853(50), 0.663917(all), eps: 0.200000
DR: 0.810542(50), 0.664415(all), eps: 0.200000
DR: 0.770123(50), 0.664708(all), eps: 0.200000
DR: 0.700507(50), 0.664899(all), eps: 0.200000
DR: 0.850303(50), 0.665410(all), eps: 0.200000
DR: 0.788760(50), 0.665841(all), eps: 0.200000
DR: 0.820486(50), 0.666264(all), eps: 0.200000
DR: 0.724519(50), 0.666482(all), eps: 0.200000
DR: 0.709882(50), 0.666600(all), eps: 0.200000
DR: 0.820758(50), 0.667109(all), eps: 0.200000
DR: 0.732145(50), 0.667285(all), eps: 0.200000
DR: 0.722465(50), 0.667524(all), eps: 0.200000
DR: 0.685174(50), 0.667571(all), eps: 0.200000
DR: 0.736115(50), 0.667842(all), eps: 0.200000
DR: 0.761957(50), 0.668094(all), eps: 0.200000
DR: 0.732661(50), 0.668355(all), eps: 0.200000
DR: 0.772716(50), 0.668632(all), eps: 0.200000
DR: 0.621382(50), 0.668532(all), eps: 0.200000
DR: 0.728038(50), 0.668689(all), eps: 0.200000
DR: 0.724076(50), 0.668923(all), eps: 0.200000
DR: 0.806804(50), 0.669286(all), eps: 0.200000
DR: 0.708060(50), 0.669474(all), eps: 0.200000
DR: 0.709520(50), 0.669579(all), eps: 0.200000
DR: 0.720107(50), 0.669797(all), eps: 0.200000
DR: 0.654881(50), 0.669759(all), eps: 0.200000
DR: 0.791435(50), 0.670137(all), eps: 0.200000
DR: 0.662466(50), 0.670117(all), eps: 0.200000
