DR: 0.663280(50), 0.436846(all), eps: 0.200000
DR: 0.606252(50), 0.437384(all), eps: 0.200000
DR: 0.688510(50), 0.438357(all), eps: 0.200000
DR: 0.684636(50), 0.439135(all), eps: 0.200000
DR: 0.705117(50), 0.440070(all), eps: 0.200000
DR: 0.714378(50), 0.440930(all), eps: 0.200000
DR: 0.610024(50), 0.441515(all), eps: 0.200000
DR: 0.644191(50), 0.442146(all), eps: 0.200000
DR: 0.659173(50), 0.442993(all), eps: 0.200000
DR: 0.602136(50), 0.443485(all), eps: 0.200000
DR: 0.617952(50), 0.444003(all), eps: 0.200000
DR: 0.634423(50), 0.444589(all), eps: 0.200000
DR: 0.631853(50), 0.445326(all), eps: 0.200000
DR: 0.707000(50), 0.446125(all), eps: 0.200000
DR: 0.727457(50), 0.447090(all), eps: 0.200000
DR: 0.718124(50), 0.447912(all), eps: 0.200000
DR: 0.612588(50), 0.448566(all), eps: 0.200000
DR: 0.689404(50), 0.449293(all), eps: 0.200000
DR: 0.567030(50), 0.449765(all), eps: 0.200000
DR: 0.726022(50), 0.450593(all), eps: 0.200000
DR: 0.666496(50), 0.451402(all), eps: 0.200000
DR: 0.660985(50), 0.452027(all), eps: 0.200000
DR: 0.761471(50), 0.453098(all), eps: 0.200000
DR: 0.699412(50), 0.453827(all), eps: 0.200000
DR: 0.664688(50), 0.454610(all), eps: 0.200000
DR: 0.678159(50), 0.455268(all), eps: 0.200000
DR: 0.581206(50), 0.455797(all), eps: 0.200000
DR: 0.665792(50), 0.456411(all), eps: 0.200000
DR: 0.697923(50), 0.457218(all), eps: 0.200000
DR: 0.728168(50), 0.458005(all), eps: 0.200000
DR: 0.632846(50), 0.458611(all), eps: 0.200000
DR: 0.650721(50), 0.459166(all), eps: 0.200000
DR: 0.670400(50), 0.459930(all), eps: 0.200000
DR: 0.637985(50), 0.460441(all), eps: 0.200000
DR: 0.521790(50), 0.460749(all), eps: 0.200000
DR: 0.487476(50), 0.460826(all), eps: 0.200000
DR: 0.696834(50), 0.461593(all), eps: 0.200000
DR: 0.621612(50), 0.462047(all), eps: 0.200000
DR: 0.641550(50), 0.462594(all), eps: 0.200000
DR: 0.678259(50), 0.463202(all), eps: 0.200000
DR: 0.762006(50), 0.464143(all), eps: 0.200000
DR: 0.616658(50), 0.464571(all), eps: 0.200000
DR: 0.722649(50), 0.465431(all), eps: 0.200000
DR: 0.666615(50), 0.465992(all), eps: 0.200000
DR: 0.694062(50), 0.466707(all), eps: 0.200000
DR: 0.688669(50), 0.467322(all), eps: 0.200000
DR: 0.654108(50), 0.467915(all), eps: 0.200000
DR: 0.549007(50), 0.468138(all), eps: 0.200000
DR: 0.631500(50), 0.468713(all), eps: 0.200000
DR: 0.575853(50), 0.469007(all), eps: 0.200000
DR: 0.714440(50), 0.469818(all), eps: 0.200000
DR: 0.657134(50), 0.470328(all), eps: 0.200000
DR: 0.643480(50), 0.470921(all), eps: 0.200000
DR: 0.692666(50), 0.471522(all), eps: 0.200000
DR: 0.623029(50), 0.471982(all), eps: 0.200000
DR: 0.592889(50), 0.472308(all), eps: 0.200000
DR: 0.526172(50), 0.472474(all), eps: 0.200000
DR: 0.665324(50), 0.472991(all), eps: 0.200000
DR: 0.680831(50), 0.473638(all), eps: 0.200000
DR: 0.691356(50), 0.474217(all), eps: 0.200000
DR: 0.640580(50), 0.474736(all), eps: 0.200000
DR: 0.683865(50), 0.475289(all), eps: 0.200000
DR: 0.625436(50), 0.475767(all), eps: 0.200000
DR: 0.677423(50), 0.476298(all), eps: 0.200000
DR: 0.567055(50), 0.476562(all), eps: 0.200000
DR: 0.671459(50), 0.477073(all), eps: 0.200000
DR: 0.643396(50), 0.477591(all), eps: 0.200000
DR: 0.581706(50), 0.477862(all), eps: 0.200000
DR: 0.617699(50), 0.478215(all), eps: 0.200000
DR: 0.582050(50), 0.478484(all), eps: 0.200000
DR: 0.581445(50), 0.478878(all), eps: 0.200000
DR: 0.716820(50), 0.479491(all), eps: 0.200000
DR: 0.644539(50), 0.479979(all), eps: 0.200000
DR: 0.699957(50), 0.480542(all), eps: 0.200000
DR: 0.650979(50), 0.481061(all), eps: 0.200000
DR: 0.551130(50), 0.481240(all), eps: 0.200000
DR: 0.566784(50), 0.481550(all), eps: 0.200000
DR: 0.657315(50), 0.481996(all), eps: 0.200000
DR: 0.575110(50), 0.482362(all), eps: 0.200000
DR: 0.642780(50), 0.482767(all), eps: 0.200000
DR: 0.662083(50), 0.483296(all), eps: 0.200000
DR: 0.585389(50), 0.483552(all), eps: 0.200000
DR: 0.627018(50), 0.483934(all), eps: 0.200000
DR: 0.643678(50), 0.484333(all), eps: 0.200000
DR: 0.649615(50), 0.484869(all), eps: 0.200000
DR: 0.658896(50), 0.485301(all), eps: 0.200000
DR: 0.599869(50), 0.485702(all), eps: 0.200000
DR: 0.659092(50), 0.486130(all), eps: 0.200000
DR: 0.686386(50), 0.486648(all), eps: 0.200000
DR: 0.625283(50), 0.486988(all), eps: 0.200000
DR: 0.656920(50), 0.487481(all), eps: 0.200000
DR: 0.675461(50), 0.487941(all), eps: 0.200000
DR: 0.663496(50), 0.488493(all), eps: 0.200000
DR: 0.685611(50), 0.488973(all), eps: 0.200000
DR: 0.562461(50), 0.489156(all), eps: 0.200000
DR: 0.590498(50), 0.489402(all), eps: 0.200000
DR: 0.620006(50), 0.489792(all), eps: 0.200000
